,Rank,name,YOB,Country,Total Points,Height,Weight,Languages,Sponsors,Twitter,race_starts,race_finishes,finish_percentage,race_wins,race_podiums,race_podium_percentage,race_wins_percentage,Agebucket
46,47,Alessandro Fabian,1988,ITA,2052.67,186.0,77.0,,,alefabian1988,111,109,98,6,13,12,5.0,"(1985.0, 1988.0]"
47,48,Andreas Schilling,1991,DEN,2043.99,185.0,70.0,Danish,"Felt Bicycles, ADP, Fredericia Idrætsfond Fusion Clothing",andreasschil,86,86,100,5,10,12,6.0,"(1988.0, 1991.0]"
48,49,Ryan Fisher,1991,AUS,2028.15,173.0,65.0,,,RyanFisher20,69,69,100,5,11,16,7.0,"(1988.0, 1991.0]"
49,50,Brandon Copeland,1996,AUS,1974.21,,,,,,63,63,100,9,15,24,14.0,"(1994.0, 1997.0]"
50,51,Tayler Reid,1996,NZL,1967.38,,,,,,77,77,100,6,22,28,8.0,"(1994.0, 1997.0]"
51,52,Matthew Sharpe,1991,CAN,1966.76,,,,,,86,86,100,2,9,10,2.0,"(1988.0, 1991.0]"
52,53,Shachar Sagiv,1994,ISR,1957.8,182.0,68.0,,"Herbalife , specialized , nike , Garmin , Zerod ",shacharsagiv,69,69,100,1,4,6,1.0,"(1991.0, 1994.0]"
53,54,Ran Sagiv,1997,ISR,1949.37,,,,,,45,45,100,1,5,11,2.0,"(1994.0, 1997.0]"
54,55,Jumpei Furuya,1991,JPN,1924.38,174.0,65.0,Japanese,,,103,103,100,10,24,23,10.0,"(1988.0, 1991.0]"
55,56,Oscar Coggins,1999,HKG,1917.31,190.0,70.0,English,"Ceepo, 26 Coaching, Championsystem, Activebrands Asia",,49,48,98,6,10,20,12.0,"(1997.0, 2000.0]"
56,57,Ryan Sissons,1988,NZL,1912.46,175.0,62.0,English,"Specialized, Oakley, Brooks, Ilabb, Volare, Winger Suzuki",ryansissons,104,104,100,9,21,20,9.0,"(1985.0, 1988.0]"
57,58,Lukas Hollaus,1986,AUT,1901.99,184.0,74.0,"German, English","Aqotec, Österreichisches Bundesheer, Sporthilfe, Skinfit, Abios, Simplon, Sailfish, Uvex, Tubolito",,99,99,100,0,3,3,0.0,"(1985.0, 1988.0]"
58,59,Wian Sullwald,1993,RSA,1895.22,184.0,62.0,"Afrikaans, English",,Wiansullwald,94,94,100,15,36,38,16.0,"(1991.0, 1994.0]"
59,60,Adrien Briffod,1994,SUI,1885.85,178.0,66.0,French,"Scott, Karakas et Français",BriffodA,69,68,99,3,7,10,4.0,"(1991.0, 1994.0]"
60,61,Valentin Wernz,1995,GER,1861.67,,,,,,41,41,100,3,8,20,7.0,"(1994.0, 1997.0]"
61,62,Andrea Salvisberg,1989,SUI,1840.64,180.0,73.0,German,"Samsung, BRACK.CH, Isostar, Garmin, Samsonite, Sporthilfe.ch",TriCAndy,97,97,100,1,2,2,1.0,"(1988.0, 1991.0]"
62,63,Thomas Bishop,1991,GBR,1805.43,171.0,63.0,English,"Huub, On, Reap, Sungod",,62,62,100,2,9,15,3.0,"(1988.0, 1991.0]"
63,64,Seth Rider,1997,USA,1744.42,,,,,,58,58,100,1,5,9,2.0,"(1994.0, 1997.0]"
64,65,Tony Smoragiewicz,1994,USA,1729.8,,,,,,52,51,98,4,11,21,8.0,"(1991.0, 1994.0]"
65,66,William Huffman,1993,USA,1716.22,,,English,,,85,85,100,4,12,14,5.0,"(1991.0, 1994.0]"
66,67,Diego Moya,1998,CHI,1696.28,,,,,,55,55,100,7,11,20,13.0,"(1997.0, 2000.0]"
67,68,Stefan Zachäus,1990,LUX,1686.4,187.0,72.0,German English Luxembourgish French,Asport & Asport Cycling ,,110,108,98,1,5,5,1.0,"(1988.0, 1991.0]"
68,69,Ognjen Stojanovic,1990,SRB,1672.35,183.0,,"Serbian, English, Spanish","Triatlon.com, Texaco, GAT, Nike Serbia, Ventum, Huub, Powerade, Garmin Serbia, Terranova Health",,133,133,100,15,31,23,11.0,"(1988.0, 1991.0]"
69,70,Davide Uccellari,1991,ITA,1663.8,185.0,64.0,,,,101,101,100,1,9,9,1.0,"(1988.0, 1991.0]"
70,71,Florin Salvisberg,1990,SUI,1626.97,,,,,,42,42,100,3,8,19,7.0,"(1988.0, 1991.0]"
71,72,Carlos Javier Quinchara Forero,1988,COL,1620.3,,,,,TriQuincharaF,107,106,99,11,24,22,10.0,"(1985.0, 1988.0]"
72,73,Gordon Benson,1994,GBR,1615.05,191.0,78.0,,"Northern Bloc, Huub, Bridgestone",,62,61,98,6,14,23,10.0,"(1991.0, 1994.0]"
73,74,Ayan Beisenbayev,1996,KAZ,1604.85,,,,,,69,65,94,5,10,14,7.0,"(1994.0, 1997.0]"
74,75,Makoto Odakura,1993,JPN,1595.94,,,,,,61,60,98,1,8,13,2.0,"(1991.0, 1994.0]"
75,76,Kenji Nener,1993,JPN,1595.46,175.0,66.0,,NTT,,81,76,94,1,5,6,1.0,"(1991.0, 1994.0]"
76,77,Dmitry Polyanskiy,1986,RUS,1592.66,182.0,69.0,"Russian, English","NL, Chinelli, Zone3, Tufo,SiS",Polyantri,163,163,100,18,41,25,11.0,"(1985.0, 1988.0]"
77,78,Tamás Tóth,1989,HUN,1585.06,175.0,65.0,,"Budaörs Triatlon, Cube Bikes, Shimano, 575 Factory, Blue Seventy, Zerge.info",,114,113,99,3,7,6,3.0,"(1988.0, 1991.0]"
78,79,Gabriel Sandör,1996,SWE,1575.92,184.0,71.0,,,,49,47,96,1,7,14,2.0,"(1994.0, 1997.0]"
79,80,Richard Varga,1989,SVK,1557.39,184.0,70.0,"slovak, english","HUUB, MAIND, ON_Running, A-one, Wilier, Kraj, Sportove centrum policie",Varga_triathlon,128,128,100,6,9,7,5.0,"(1988.0, 1991.0]"
80,81,Collin Chartier,1993,USA,1555.28,,,,,,39,38,97,3,3,8,8.0,"(1991.0, 1994.0]"
81,82,Mehdi Essadiq,1986,MAR,1527.27,180.0,70.0,"Arabic, French, English and Spanish",,,79,75,95,1,8,10,1.0,"(1985.0, 1988.0]"
82,83,Igor Polyanskiy,1990,RUS,1526.56,191.0,72.0,,,,127,124,98,2,16,13,2.0,"(1988.0, 1991.0]"
83,84,Márk Dévay,1996,HUN,1523.41,,,,,,63,63,100,1,7,11,2.0,"(1994.0, 1997.0]"
84,85,Barclay Izzard,1998,GBR,1522.59,,,,,,21,21,100,2,2,10,10.0,"(1997.0, 2000.0]"
85,86,Constantine Doherty,1995,IRL,1498.47,,,,,,62,61,98,4,11,18,6.0,"(1994.0, 1997.0]"
86,87,Badr Siwane,1994,MAR,1481.92,,,,OCP - CULTURE VELO CORBEIL - COMITE NATIONAL OLYMPIQUE MAROCAIN ,,38,38,100,5,9,24,13.0,"(1991.0, 1994.0]"
87,88,Russell White,1992,IRL,1479.57,,,,,russellwhitetri,96,94,98,0,2,2,0.0,"(1991.0, 1994.0]"
88,89,Genis Grau,1994,ESP,1479.41,,,,,,49,49,100,3,4,8,6.0,"(1991.0, 1994.0]"
89,90,Jan Celustka,1982,CZE,1459.08,,,,,,140,140,100,1,6,4,1.0,
90,91,Charles Paquet,1997,CAN,1452.4,,,,,,50,50,100,2,15,30,4.0,"(1994.0, 1997.0]"
91,92,Gábor Faldum,1988,HUN,1447.38,172.0,66.0,"Hungarian, English","Mogyi SE, MCipollini, DMT Cycle, MizunoHungary, Fuss Boldogan, Zone3, Precision Hydration",,130,130,100,3,9,7,2.0,"(1985.0, 1988.0]"
92,93,Ilya Prasolov,1994,RUS,1445.67,,,Russian,,,69,69,100,2,8,12,3.0,"(1991.0, 1994.0]"
93,94,Luciano Taccone,1989,ARG,1438.19,,,,,lucianotaccone,112,111,99,13,25,22,12.0,"(1988.0, 1991.0]"
94,95,Vicente Hernandez,1991,ESP,1415.38,181.0,74.0,English,Isostar,VicenteHdezC,93,93,100,3,14,15,3.0,"(1988.0, 1991.0]"
95,96,Jason West,1993,USA,1412.86,,,,,,44,44,100,7,13,30,16.0,"(1991.0, 1994.0]"
96,97,Ren Sato,1995,JPN,1404.88,172.0,65.0,japanese,Fukui Sports Association,,48,48,100,1,5,10,2.0,"(1994.0, 1997.0]"
97,98,Ben Kanute,1992,USA,1387.07,183.0,70.0,,,benkanute,74,74,100,4,15,20,5.0,"(1991.0, 1994.0]"
98,99,Alberto Gonzalez Garcia,1998,ESP,1386.3,178.0,67.0,Spanish,"Triatlón Arcade-Inforhouse Santiago, Gafas Roberto, Taymory, Solsports, Spiuk, Huub",,35,35,100,4,7,20,11.0,"(1997.0, 2000.0]"
99,100,Felipe Barraza,1991,CHI,1367.92,181.0,70.0,,,,109,106,97,3,11,10,3.0,"(1988.0, 1991.0]"
